"Characteristics","Estimate"
"      Total","76,053"
"",""
"Value",""
"",""
"Less than $10,000","1,536"
"$10,000 to $19,999","1,219"
"$20,000 to $29,999","1,132"
"$30,000 to $39,999","1,379"
"$40,000 to $59,999","3,476"
"$60,000 to $79,999","5,180"
"$80,000 to $99,999","5,985"
"$100,000 to $119,999","5,349"
"$120,000 to $149,999","8,220"
"$150,000 to $199,999","11,610"
"$200,000 to $299,999","13,496"
"$300,000 to $399,999","7,113"
"$400,000 to $499,999","3,755"
"$500,000 to $749,999","4,018"
"$750,000 or more","2,586"
"Median (dollars)","160,000"
"",""
"Ratio of Value to Current Income",""
"",""
"Less than 1.5","16,377"
"1.5 to 1.9","8,887"
"2.0 to 2.4","8,419"
"2.5 to 2.9","7,002"
"3.0 to 3.9","9,388"
"4.0 to 4.9","5,789"
"5.0 to 6.9","6,830"
"7.0 to 8.9","3,485"
"9.0 to 10.9","2,114"
"11 or more","6,844"
"Zero or negative income","918"
"Median (ratio)","2.7"
"",""
"Other Activities on Property",""
"",""
"Medical or commercial establishment","697"
"Neither","75,356"
"",""
"Year Unit Acquired",""
"",""
"2010 to 2014","5,475"
"2005 to 2009","18,700"
"2000 to 2004","15,249"
"1995 to 1999","10,542"
"1990 to 1994","7,266"
"1985 to 1989","5,297"
"1980 to 1984","3,083"
"1975 to 1979","3,600"
"1970 to 1974","2,405"
"1960 to 1969","2,934"
"1950 to 1959","1,257"
"1940 to 1949","214"
"1939 or earlier","30"
"Median (year)","2000"
"",""
"Purchase Price",""
"",""
"Home purchased or built","71,597"
"  Less than $10,000","2,608"
"  $10,000 to $19,999","3,984"
"  $20,000 to $29,999","3,608"
"  $30,000 to $39,999","3,415"
"  $40,000 to $49,999","2,958"
"  $50,000 to $59,999","2,978"
"  $60,000 to $69,999","3,051"
"  $70,000 to $79,999","2,910"
"  $80,000 to $99,999","5,577"
"  $100,000 to $119,999","4,329"
"  $120,000 to $149,999","6,662"
"  $150,000 to $199,999","8,294"
"  $200,000 to $249,999","5,139"
"  $250,000 to $299,999","3,207"
"  $300,000 or more","8,770"
"  Not reported","4,106"
"  Median (dollars)","110,000"
"Received as inheritance or gift","3,498"
"Not reported","958"
"",""
"Down Payment",""
"",""
"      Home purchased or built","71,597"
"No down payment","7,287"
"Less than 3 percent","5,208"
"3 to 5 percent","7,633"
"6 to 10 percent","9,977"
"11 to 15 percent","3,953"
"16 to 20 percent","8,669"
"21 to 40 percent","8,383"
"41 to 99 percent","4,789"
"Bought outright","6,806"
"Not reported","8,893"
"",""
"Major Source of Down Payment",""
"",""
"      Home purchased or built","71,597"
"Sale of previous home","21,253"
"Savings or cash on hand","32,479"
"Sale of other investment","732"
"Borrowing, other than mortgage on this property","2,296"
"Inheritance or gift","1,425"
"Land where building built used for financing","610"
"Other","3,408"
"No down payment","7,287"
"Not reported","2,107"
"",""
"How Acquired",""
"",""
"      First occupant in single-family unit built 2010 or later","328"
"Already built","107"
"Sales agreement","95"
"Contractor","61"
"Built it yourself","50"
"Received as inheritance or gift","."
"Not reported","15"
"",""
"Previous Occupancy",""
"",""
"      Unit built 2010 or later","468"
"Previously occupied","33"
"Not previously occupied","343"
"Not reported","91"
"",""
"First-Time Owners",""
"",""
"First home ever owned","31,828"
"Not first home","42,917"
"Not reported","1,307"
"",""
