"Characteristics","Estimate"
"      Total","82,513"
"",""
"Value",""
"",""
"Less than $40,000","3,033"
"$40,000 to $79,999","3,657"
"$80,000 to $119,999","4,952"
"$120,000 to $149,999","4,343"
"$150,000 to $199,999","8,632"
"$200,000 to $299,999","16,523"
"$300,000 to $399,999","13,506"
"$400,000 to $499,999","8,687"
"$500,000 to $749,999","10,572"
"$750,000 or more","8,609"
"Median (dollars)","300,000"
"Mean (dollars)","390,200"
"",""
"Ratio of Value to Household Income",""
"",""
"Less than 1.5","11,288"
"1.5 to 1.9","7,795"
"2.0 to 2.4","8,335"
"2.5 to 2.9","7,707"
"3.0 to 3.9","11,354"
"4.0 to 4.9","7,563"
"5.0 to 6.9","8,891"
"7.0 to 8.9","4,632"
"9.0 to 10.9","2,868"
"11 or more","10,991"
"Zero or negative income","1,090"
"Median (ratio)","3.4"
"Mean (ratio)","65.6"
"",""
"Year Unit Acquired",""
"",""
"2020 to 2021","7,731"
"2015 to 2019","21,376"
"2010 to 2014","11,167"
"2005 to 2009","9,811"
"2000 to 2004","8,987"
"1995 to 1999","7,395"
"1990 to 1994","4,766"
"1985 to 1989","3,366"
"1980 to 1984","2,364"
"1975 to 1979","2,073"
"1970 to 1974","1,716"
"1960 to 1969","1,419"
"1959 or earlier","341"
"Median (year)","2009"
"Mean (year)","2005"
"",""
"Purchase Price",""
"",""
"Home purchased or built","77,634"
"  Less than $20,000","4,286"
"  $20,000 to $39,999","4,554"
"  $40,000 to $59,999","4,459"
"  $60,000 to $79,999","4,695"
"  $80,000 to $99,999","4,648"
"  $100,000 to $119,999","4,230"
"  $120,000 to $149,999","6,382"
"  $150,000 to $199,999","9,892"
"  $200,000 to $249,999","6,848"
"  $250,000 to $299,999","5,374"
"  $300,000 to $399,999","7,021"
"  $400,000 or more","10,144"
"  Not reported","5,103"
"  Median (dollars)","161,000"
"  Mean (dollars)","226,000"
"Received as inheritance or gift","3,338"
"Not reported","1,541"
"",""
"Down Payment",""
"",""
"      Home purchased or built","77,634"
"No down payment","9,455"
"Less than 3 percent","3,147"
"3 to 5 percent","8,637"
"6 to 10 percent","10,115"
"11 to 15 percent","3,945"
"16 to 20 percent","11,177"
"21 to 40 percent","7,212"
"41 to 99 percent","3,628"
"Bought outright","4,619"
"Not reported","15,699"
"",""
"How Acquired",""
"",""
"Already built","66,170"
"Sales agreement","4,658"
"Contractor","3,565"
"Built it yourself","3,241"
"Received as inheritance or gift","3,338"
"Not reported","1,541"
"",""
"First-Time Owners",""
"",""
"First home ever owned","36,418"
"Not first home","42,338"
"Not reported","3,758"
"",""
"Lead Pipes",""
"",""
"Pipes inspected for lead before purchase","33,116"
"Pipes not inspected for lead before purchase","46,420"
"Not reported","2,977"
