year,how,value
2009,obs,71877
2009,prevhome,21946
2009,giftinherit,1358
2009,missing,1876
2007,obs,70334
2007,prevhome,22897
2007,giftinherit,1375
2007,missing,1617
2005,obs,71467
2005,prevhome,23047
2005,giftinherit,1612
2005,missing,1388
2003,obs,68520
2003,prevhome,21566
2003,giftinherit,1599
2003,missing,1603
2001,obs,68664
2001,prevhome,21331
2001,giftinherit,1677
2001,missing,1646
1999,obs,65334
1999,prevhome,20622
1999,giftinherit,1508
1999,missing,1569
1997,obs,61479
1997,prevhome,19427
1997,giftinherit,1406
1997,missing,2188
1995,obs,61676
1995,prevhome,18369
1995,giftinherit,1391
1995,missing,3775
1993,obs,58492
1993,prevhome,17855
1993,giftinherit,1259
1993,missing,1543
1991,obs,57116
1991,prevhome,17293
1991,giftinherit,1321
1991,missing,1415
