yearrelunemp,wealthy_prnt,mean_Dlhousing,sem_Dlhousing,id_hd,ub_Dlhousing,lb_Dlhousing,f
-4,0,.042536438,.018584009,508,.078961097,.0061117793,75
-4,1,.082081445,.049390513,46,.17888685,-.014723962,75
-2,0,.026402984,.016098445,761,.057955936,-.0051499689,75
-2,1,.0031198617,.036362991,55,.07439132,-.068151601,75
0,0,-.034377821,.015285179,878,-.00441887,-.064336769,75
0,1,.058517128,.036612011,64,.13027667,-.013242414,75
2,0,.041857291,.020478487,640,.081995122,.0017194565,75
2,1,.048207622,.050308015,43,.14681134,-.050396089,75
4,0,.075494722,.020974955,500,.11660563,.034383811,75
4,1,.13367702,.05647102,32,.24436022,.022993822,75
