agecl,Piv1to1,Piv1to2,Piv2to1,Piv2to2
25,.83440816,.16559181,.22473547,.77526456
27,.83511156,.16488847,.20901437,.79098564
29,.83662474,.16337526,.19479544,.80520457
31,.83894777,.1610522,.18207867,.81792134
33,.84208071,.15791926,.17086408,.82913589
35,.8460235,.15397647,.16115165,.83884835
37,.8507762,.1492238,.15294138,.84705859
39,.85633874,.14366128,.14623329,.85376674
41,.86271113,.13728888,.14102736,.85897267
43,.86989337,.13010663,.13732359,.86267644
45,.87788546,.12211452,.13512197,.864878
47,.88668746,.11331253,.13442254,.86557746
49,.8962993,.10370068,.13522528,.8647747
51,.906721,.093278974,.13753018,.86246985
53,.9179526,.082047395,.14133725,.85866278
