agecl,Piv1to1,Piv1to2,Piv1to3,Piv2to1,Piv2to2,Piv2to3,Piv3to1,Piv3to2,Piv3to3
25,.75213104,.20004937,.047819637,.29054978,.51310837,.19634192,.059389923,.24126226,.69934785
27,.76210839,.19555411,.042337537,.26376113,.54390883,.19233006,.054665364,.22263139,.72270328
29,.77164185,.19104797,.037310172,.23995294,.57154828,.18849882,.050195541,.20652883,.74327564
31,.78073144,.18653099,.032737553,.21912517,.59602666,.18484822,.045980446,.19295457,.76106501
33,.78937715,.18200317,.028619679,.20127784,.61734402,.18137822,.042020079,.18190861,.77607131
35,.79757899,.17746449,.024956545,.1864109,.63550025,.17808881,.038314447,.17339095,.78829461
37,.80533695,.17291494,.02174815,.17452443,.65049553,.17498004,.034863539,.1674016,.79773486
39,.81265098,.16835451,.018994493,.16561837,.66232973,.17205188,.031667367,.16394053,.8043921
41,.81952119,.16378327,.016695583,.15969275,.67100292,.16930434,.028725922,.16300778,.80826628
43,.82594752,.15920113,.014851411,.15674756,.67651504,.16673741,.026039207,.16460332,.80935746
45,.83192986,.15460815,.013461979,.15678279,.67886609,.16435109,.023607222,.16872717,.80766565
47,.83746845,.15000431,.012527291,.15979847,.67805618,.16214541,.021429969,.17537932,.80319071
49,.84256303,.1453896,.012047341,.16579457,.67408514,.16012031,.019507444,.18455976,.79593283
51,.8472138,.14076404,.012022134,.17477109,.66695309,.15827583,.01783965,.1962685,.78589183
53,.8514207,.13612762,.012451667,.18672805,.65665996,.15661198,.016426586,.21050555,.77306789
