xp,vp,xk,vk,prob,wealth
1,1,1,1,.15608664,0
1,1,2,1,.38386855,.74277395
1,1,3,1,.1120239,14.161605
1,1,4,1,.040328603,115.98334
1,1,1,2,.072442122,0
1,1,2,2,.070948467,.74277395
1,1,3,2,.086631812,14.161605
1,1,4,2,.077669904,115.98334
2,1,1,1,.15438597,0
2,1,2,1,.24912281,.74277395
2,1,3,1,.14152047,14.161605
2,1,4,1,.058479533,115.98334
2,1,1,2,.076023392,0
2,1,2,2,.065497078,.74277395
2,1,3,2,.11695907,14.161605
2,1,4,2,.13801169,115.98334
3,1,1,1,.12676056,0
3,1,2,1,.12676056,.74277395
3,1,3,1,.11267605,14.161605
3,1,4,1,.095774651,115.98334
3,1,1,2,.11549295,0
3,1,2,2,.070422538,.74277395
3,1,3,2,.15492958,14.161605
3,1,4,2,.1971831,115.98334
4,1,1,1,.068027213,0
4,1,2,1,.088435374,.74277395
4,1,3,1,.1292517,14.161605
4,1,4,1,.11564626,115.98334
4,1,1,2,.12244898,0
4,1,2,2,.054421768,.74277395
4,1,3,2,.10204082,14.161605
4,1,4,2,.3197279,115.98334
1,2,1,1,.17679559,0
1,2,2,1,.17127071,.74277395
1,2,3,1,.10497238,14.161605
1,2,4,1,.044198897,115.98334
1,2,1,2,.13259669,0
1,2,2,2,.11049724,.74277395
1,2,3,2,.13812155,14.161605
1,2,4,2,.12154696,115.98334
2,2,1,1,.13701923,0
2,2,2,1,.16346154,.74277395
2,2,3,1,.12259615,14.161605
2,2,4,1,.03846154,115.98334
2,2,1,2,.14663461,0
2,2,2,2,.067307696,.74277395
2,2,3,2,.13942307,14.161605
2,2,4,2,.18509616,115.98334
3,2,1,1,.11958147,0
3,2,2,1,.095665172,.74277395
3,2,3,1,.074738413,14.161605
3,2,4,1,.055306427,115.98334
3,2,1,2,.16143498,0
3,2,2,2,.089686096,.74277395
3,2,3,2,.16292974,14.161605
3,2,4,2,.2406577,115.98334
4,2,1,1,.09425626,0
4,2,2,1,.063328423,.74277395
4,2,3,1,.092783503,14.161605
4,2,4,1,.042709868,115.98334
4,2,1,2,.11782032,0
4,2,2,2,.044182621,.74277395
4,2,3,2,.17231223,14.161605
4,2,4,2,.37260678,115.98334
