agecl,vpval1,vpval2,vpval3
55,.67651987,1.0013437,1.2581646
57,.67812997,1.0009958,1.2665725
59,.67837596,1.0005784,1.2745353
61,.6772579,1.0000917,1.282053
63,.67477572,.99953556,1.2891258
65,.67092949,.99891001,1.2957536
67,.66571909,.99821514,1.3019363
69,.65914464,.99745089,1.3076741
71,.65120608,.99661726,1.3129667
73,.6419034,.99571425,1.3178145
75,.63123667,.9947418,1.3222171
77,.61920577,.99370003,1.3261747
79,.60581088,.99258888,1.3296874
81,.59105182,.99140829,1.3327551
83,.57492864,.99015838,1.3353776
