race,medwealthyoung,medwealthold,owneryoung,h2wyoung,r2incyoung,wealthatpurchaseyoung,LTVatpurchaseyoung,first_ownyoung,transfrateyoung,transferbuyersyoung,LTVatpurchaseold,consp2conskyoung,first_ownold,h2wold,house2incold,house2incyoung,logincomeold,logincomeyoung,medconsp2conskyoung,medwealthfold,medwealthfyoung,medwealthp_owneryoung,medwealthp_renteryoung,medwealthpgradyoung,mortg2incold,mortg2incyoung,mortgold,mortgyoung,owner_age3536_inc1old,owner_age3536_inc1young,owner_age3536_inc2old,owner_age3536_inc2young,owner_age3536_inc3old,owner_age3536_inc3young,r2incold,stdwealthold,stdwealthyoung,tp2inckyoung,tp2wealthk_medyoung,tp2wealthkyoung,tp2wealthp_medyoung,tp2wealthpyoung,transferbuyersFamntyoung,transferbuyersFyoung,transferbuyersLamntyoung,transferbuyersLyoung,transferbuyersNamntyoung,transferbuyersNyoung,transferbuyersamntyoung,transfrateowneryoung,transfraterenteryoung,transfsize_medyoung,transfsizeyoung,wealth_age3536_p10old,wealth_age3536_p10young,wealth_age3536_p25old,wealth_age3536_p25young,wealth_age3536_p50old,wealth_age3536_p50young,wealth_age3536_p75old,wealth_age3536_p75young,wealth_age3536_p90old,wealth_age3536_p90young,wealth_nonrcverold,wealth_nonrcveryoung,wealth_rcverold,wealth_rcveryoung,wealthatpurchaseold,wealthfold,wealthfyoung,wealthold,wealthp_owneryoung,wealthp_renteryoung,wealthpgradyoung,wealthyoung,boot
All,24.03448511947721,194.0435563163751,.47927022,2.2814162,.23200755,40.262909,.63223433,32.458344,.23807418,.2552827,.38204545,,57.208904,.99204868,3.8829446,11.053402,4.0104523,3.9515507,,537.46173,256.62408,299.31134,112.83949,2.6525407,1.136948,8.5618362,73.16864,143.52965,,.25080881,,.53467727,,.7940942,.24430427,903.555904483905,284.94615498678,3.629612,.03125,.25424364,.0043478264,.024376046,4.3536596,.23504777,3.9805801,.22026454,11.572725,.33792591,5.7817163,.23680703,.23895828,1.2209133,4.4294772,,-21.740198,,1.9726741,,31.493093,,132.02266,,348.84219,424.47769,63.595081,644.75372,101.56422,,969.69061,628.01813,517.5060173481609,636.94495,383.03009,1.6629109,117.4797855782148,1
Black,3.54496673533842,32.22073484740633,.26777789,2.4281576,.25180858,18.869902,.52035695,35.027935,.12148126,.088458329,.35509232,,56.392883,1.4243339,2.660969,4.3833179,3.4143405,3.4068158,,82.067818,41.71418,59.025829,12.745281,4.6311908,.67481303,.94804704,57.589527,106.58562,,.15684985,,.35486311,,.683631,.27014005,240.8892909590258,140.1592667759212,.051714055,.018750001,.18577951,.030959753,.10131457,5.1491899,.15693793,1.8230999,.028435225,2.5636175,.036407407,4.5743852,.10193216,.12577473,1.0174278,2.3135622,,-12.222808,,-1.9454565,,10.993805,,43.390308,,113.46686,96.944336,19.831078,75.189713,41.313057,,155.55022,114.89486,106.1991384011346,128.66676,63.378082,2.0301461,37.14383320036416,1
White,35.02635043028098,248.3663534675809,.5309087,2.2690747,.21927226,48.013954,.65894759,31.869333,.2684207,.30345583,.38603351,,57.280987,.92587602,4.1246181,12.518938,4.106132,4.0854163,,584.87604,354.56271,346.32999,194.60988,1.7796116,1.2028693,9.9616308,72.7883,147.31914,,.308873,,.59887928,,.81434923,.22720435,952.155923714117,309.8536494814362,4.1460204,.03125,.25344062,.0038461538,.018748386,3.8521531,.2596353,3.3798137,.27920789,11.73589,.42710185,5.6284246,.25326693,.28141516,1.2209133,4.5902038,,-23.740477,,3.775316,,49.477474,,169.27791,,407.36172,475.18903,74.099281,676.36426,107.31015,,1040.8038,736.16986,588.5042351845724,679.62549,499.27216,1.3612325,137.6696341348253,1
All,23.11473664980561,189.0084694746022,.48005065,2.2920539,.23458216,42.047848,.65321225,32.487179,.21646634,.23475376,.35564539,,57.555607,1.0039618,3.5478044,6.7750063,4.0106473,3.9532478,,515.7207,260.62732,283.99139,112.13705,2.5325384,.84224951,5.2705231,72.658218,143.21783,,.25560889,,.575234,,.79308271,.25470984,894.0366190957544,283.4936971603538,1.0294367,.034602076,.19884275,.00440044,.024730153,4.3390312,.24302517,4.183651,.19208242,5.6828756,.26582819,4.4374323,.20628189,.22463191,1.5261416,3.9614067,,-20.12665,,1.8945125,,30.557121,,129.50584,,385.42456,378.77328,70.067902,506.43436,88.066414,,962.64612,630.96985,509.0041388057771,619.85791,401.52277,1.5437678,116.956988182648,2
Black,3.289488585954938,32.20751127793717,.25511074,2.4462459,.25091359,19.326502,.51300877,35.102673,.11483538,.065796532,.32677752,,57.219448,1.4945869,2.2141232,5.5169816,3.4596157,3.4126496,,89.502007,41.571518,60.543961,14.058125,4.3066878,.73452121,3.5010357,60.467659,107.46346,,.11870366,,.35047308,,.65343618,.27099177,230.8809722902176,134.4212421508276,.070469044,.1,.87346423,.01953125,.035542551,2.0743575,.057391617,2.1075091,.074472986,4.8753743,.056234661,2.415575,.089047663,.12175457,.81394219,1.9813583,,-18.321909,,-1.4692557,,8.2399921,,36.643063,,114.43277,127.47382,15.254056,72.805763,13.160542,,163.86615,119.92675,98.78185468909972,139.20786,72.688545,1.9151279,35.36117410958591,2
White,35.29695316675485,246.6577048659109,.53661782,2.2575862,.22429,50.728115,.67828947,31.875769,.24160635,.2800681,.36575875,,57.254219,.93087071,3.7190027,7.3031025,4.108501,4.0842514,,579.34845,356.37445,326.16891,193.36478,1.6868062,.85475469,5.7933784,72.777527,146.32219,,.30426839,,.62660563,,.82511866,.24386652,944.9957706552391,308.1214493034093,1.1843288,.030959751,.12569726,.003726708,.023202889,4.0867481,.29636377,3.3885708,.21381736,5.7049446,.33321202,4.2307611,.22223538,.26116598,2.0348556,3.965446,,-20.380556,,4.1802812,,49.252438,,160.0817,,487.7529,413.81683,85.354729,539.71381,95.16481,,1049.583,742.81409,585.872703104946,668.99237,521.18243,1.283605,138.3580600495428,2
All,23.5386693534702,194.5321640405262,.47679645,2.2899337,.23454556,31.730473,.6434195,32.531502,.24184799,.2489087,.39734668,,57.179398,.99544835,4.4129071,11.516488,4.0050068,3.9497476,,489.15765,255.30524,284.91351,111.53067,2.5545754,1.1160686,9.0353308,73.945778,144.80295,,.28411922,,.57572138,,.8023597,.24861829,903.2186525250255,277.3900797731259,.83644134,.031023785,.20085785,.0058881254,.021264538,4.7767611,.22464894,4.2978024,.22015809,9.0799456,.31399313,5.5023999,.24557796,.23926914,1.5261416,4.0792665,,-15.63555,,2.7019851,,34.802723,,148.16074,,393.91855,303.19159,73.884422,581.83777,122.88989,,948.43958,624.64899,514.0590828417725,628.32843,393.43146,1.5970467,115.8951923251827,3
Black,3.649694044128796,35.39189769870617,.26035029,2.4433172,.24506453,18.642073,.56193054,35.096733,.14341675,.076014087,.26232645,,55.918991,1.5372186,2.6009886,7.2679853,3.4430697,3.4041603,,87.7239,41.559864,56.949402,14.972646,3.8035631,.72038198,4.4561214,58.896687,106.81792,,.19681166,,.41504854,,.62507057,.26949713,196.8245509023629,133.2233992631688,.046992462,.14,.68545645,.016393442,.053901087,4.4618902,.063064151,2.2093005,.086392492,14.092457,.017100416,3.6651335,.15144354,.14160959,.81394219,2.1130388,,-19.826002,,-2.4970121,,11.626014,,32.123627,,211.29611,105.17071,18.622255,7.4272227,25.96633,,155.8428,120.24725,100.1165366247389,127.18998,69.071472,1.8414257,36.84932209290955,3
White,34.11105544073302,254.9861687617388,.52940249,2.2509434,.22448117,35.885887,.67382962,31.908789,.27162361,.29601645,.41913798,,57.311722,.91896743,4.7385073,12.785659,4.0991116,4.0856071,,573.86237,355.84543,333.65948,200.82974,1.6614047,1.1742568,10.207144,73.683556,148.24916,,.30026266,,.60259378,,.83050382,.23431897,961.7681070862218,300.7042463339388,.97292715,.028011205,.14894632,.0040983604,.015907325,4.6052303,.27125543,3.8611126,.25589418,9.0414267,.41174284,5.3827596,.2601769,.28164583,1.5261416,4.2909589,,-18.207626,,4.534224,,51.856148,,175.88519,,456.82965,330.4744,89.163078,607.19067,136.213,,1039.4663,740.94067,593.9546273412576,677.32544,520.07013,1.3023733,135.7851056553365,3
All,23.92642054581232,195.6621388871829,.48100027,2.2703362,.23116979,33.113888,.65367776,32.440247,.23971094,.24922185,.36698177,,57.237698,.99150783,4.5055184,3.9327271,4.0275455,3.9506037,,499.98608,253.64221,282.23355,113.02184,2.4971595,1.5553449,1.1375213,72.199669,144.09538,,.26904511,,.54242712,,.79396474,.24987014,938.5051005162527,277.9270333016376,1.3992522,.045614038,.22526576,.0060240962,.031591251,3.828722,.23958501,5.1454391,.2054417,6.0116196,.28302896,4.6258888,.20318763,.26406011,1.5261416,4.5235324,,-22.052355,,2.4591844,,32.806484,,136.28806,,366.29272,340.45578,69.361595,577.2002,81.195305,,1000.3962,612.005,525.5707798160651,614.51111,380.84763,1.6135354,114.0805927817313,4
